Country,Province,Lat,Lon,Date,Cases,Status
,,0,0,0001-01-01T00:00:00Z,0,
 Azerbaijan,,0,0,2020-02-28T00:00:00Z,1,confirmed
 Azerbaijan,,0,0,2020-02-28T00:00:00Z,0,recovered
 Azerbaijan,,0,0,2020-02-28T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-02-24T00:00:00Z,1,confirmed
Afghanistan,,33,65,2020-02-24T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-02-24T00:00:00Z,0,deaths
Afghanistan,,0,0,2020-02-24T00:00:00Z,1,confirmed
Afghanistan,,0,0,2020-02-24T00:00:00Z,0,recovered
Afghanistan,,0,0,2020-02-24T00:00:00Z,0,deaths
Afghanistan,,0,0,2020-02-25T00:00:00Z,1,confirmed
Afghanistan,,0,0,2020-02-25T00:00:00Z,0,recovered
Afghanistan,,0,0,2020-02-25T00:00:00Z,0,deaths
Afghanistan,,0,0,2020-02-26T00:00:00Z,1,confirmed
Afghanistan,,0,0,2020-02-26T00:00:00Z,0,recovered
Afghanistan,,0,0,2020-02-26T00:00:00Z,0,deaths
Afghanistan,,0,0,2020-02-27T00:00:00Z,1,confirmed
Afghanistan,,0,0,2020-02-27T00:00:00Z,0,recovered
Afghanistan,,0,0,2020-02-27T00:00:00Z,0,deaths
Afghanistan,,0,0,2020-02-28T00:00:00Z,1,confirmed
Afghanistan,,0,0,2020-02-28T00:00:00Z,0,recovered
Afghanistan,,0,0,2020-02-28T00:00:00Z,0,deaths
Afghanistan,,0,0,2020-02-29T00:00:00Z,1,confirmed
Afghanistan,,0,0,2020-02-29T00:00:00Z,0,recovered
Afghanistan,,0,0,2020-02-29T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-03-01T00:00:00Z,1,confirmed
Afghanistan,,33,65,2020-03-01T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-03-01T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-03-02T00:00:00Z,1,confirmed
Afghanistan,,33,65,2020-03-02T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-03-02T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-03-03T00:00:00Z,1,confirmed
Afghanistan,,33,65,2020-03-03T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-03-03T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-03-04T00:00:00Z,1,confirmed
Afghanistan,,33,65,2020-03-04T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-03-04T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-03-05T00:00:00Z,1,confirmed
Afghanistan,,33,65,2020-03-05T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-03-05T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-03-06T00:00:00Z,1,confirmed
Afghanistan,,33,65,2020-03-06T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-03-06T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-03-07T00:00:00Z,1,confirmed
Afghanistan,,33,65,2020-03-07T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-03-07T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-03-08T00:00:00Z,4,confirmed
Afghanistan,,33,65,2020-03-08T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-03-08T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-03-09T00:00:00Z,4,confirmed
Afghanistan,,33,65,2020-03-09T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-03-09T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-03-10T00:00:00Z,5,confirmed
Afghanistan,,33,65,2020-03-10T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-03-10T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-03-11T00:00:00Z,7,confirmed
Afghanistan,,33,65,2020-03-11T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-03-11T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-03-12T00:00:00Z,7,confirmed
Afghanistan,,33,65,2020-03-12T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-03-12T00:00:00Z,0,deaths
Afghanistan,,33,65,2020-03-13T00:00:00Z,7,confirmed
Afghanistan,,33,65,2020-03-13T00:00:00Z,0,recovered
Afghanistan,,33,65,2020-03-13T00:00:00Z,0,deaths
Afghanistan,,33.9391,67.71,2020-03-14T00:00:00Z,11,confirmed
Afghanistan,,33.9391,67.71,2020-03-14T00:00:00Z,0,recovered
Afghanistan,,33.9391,67.71,2020-03-14T00:00:00Z,0,deaths
Afghanistan,,33.9391,67.71,2020-03-15T00:00:00Z,16,confirmed
Afghanistan,,33.9391,67.71,2020-03-15T00:00:00Z,0,recovered
Afghanistan,,33.9391,67.71,2020-03-15T00:00:00Z,0,deaths
Afghanistan,,33.9391,67.71,2020-03-16T00:00:00Z,21,confirmed
Afghanistan,,33.9391,67.71,2020-03-16T00:00:00Z,1,recovered
Afghanistan,,33.9391,67.71,2020-03-16T00:00:00Z,0,deaths
Afghanistan,,33.9391,67.71,2020-03-17T00:00:00Z,22,confirmed
Afghanistan,,33.9391,67.71,2020-03-17T00:00:00Z,1,recovered
Afghanistan,,33.9391,67.71,2020-03-17T00:00:00Z,0,deaths
Afghanistan,,33.9391,67.71,2020-03-18T00:00:00Z,22,confirmed
Afghanistan,,33.9391,67.71,2020-03-18T00:00:00Z,1,recovered
Afghanistan,,33.9391,67.71,2020-03-18T00:00:00Z,0,deaths
Afghanistan,,33.9391,67.71,2020-03-19T00:00:00Z,22,confirmed
