country,population,continent_name
Afghanistan,37172386,Asia
Albania,2866376,Europe
Algeria,42228429,Africa
American Samoa,55465,Oceania
Andorra,77006,Europe
Angola,30809762,Africa
Antigua and Barbuda,96286,North America
Azerbaijan,9939800,Europe
Argentina,44494502,South America
Australia,24982688,Oceania
Austria,8840521,Europe
Bahamas,385640,North America
Bahrain,1569439,Asia
Bangladesh,161356039,Asia
Armenia,2951776,Europe
Barbados,286641,North America
Belgium,11433256,Europe
Bermuda,63973,North America
Bhutan,754394,Asia
Bolivia,11353142,South America
Bosnia and Herzegovina,3323929,Europe
Botswana,2254126,Africa
Brazil,209469333,South America
Belize,383071,North America
Solomon Islands,652858,Oceania
British Virgin Islands,29802,North America
Brunei Darussalam,428962,Asia
Bulgaria,7025037,Europe
Myanmar,53708395,Asia
Burundi,11175378,Africa
Belarus,9483499,Europe
Cambodia,16249798,Asia
Cameroon,25216237,Africa
Canada,37057765,North America
Cape Verde,543767,Africa
Cayman Islands,64174,North America
Central African Republic,4666377,Africa
Sri Lanka,21670000,Asia
Chad,15477751,Africa
Chile,18729160,South America
China,1392730000,Asia
Colombia,49648685,South America
Comoros,832322,Africa
Congo,5244363,Africa
Congo,84068091,Africa
Costa Rica,4999441,North America
Croatia,4087843,Europe
Cuba,11338138,North America
Cyprus,1189265,Europe
Czech Republic,10629928,Europe
Benin,11485048,Africa
Denmark,5793636,Europe
Dominica,71625,North America
Dominican Republic,10627165,North America
Ecuador,17084357,South America
El Salvador,6420744,North America
Equatorial Guinea,1308974,Africa
Ethiopia,109224559,Africa
Eritrea,3213972,Africa
Estonia,1321977,Europe
Faroe Islands,48497,Europe
Fiji,883483,Oceania
Finland,5515525,Europe
France,66977107,Europe
French Polynesia,277679,Oceania
Djibouti,958920,Africa
Gabon,2119275,Africa
Georgia,3726549,Europe
Gambia,2280102,Africa
Palestinian Territory,4569087,Asia
Germany,82905782,Europe
Ghana,29767108,Africa
Gibraltar,33718,Europe
Kiribati,115847,Oceania
Greece,10731726,Europe
Greenland,56025,North America
Grenada,111454,North America
Guam,165768,Oceania
Guatemala,17247807,North America
Guinea,12414318,Africa
Guyana,779004,South America
Haiti,11123176,North America
Honduras,9587522,North America
Hong Kong,7451000,Asia
Hungary,9775564,Europe
Iceland,352721,Europe
India,1352617328,Asia
Indonesia,267663435,Asia
Iran,81800269,Asia
Iraq,38433600,Asia
Ireland,4867309,Europe
Israel,8882800,Asia
Italy,60421760,Europe
Cote d'Ivoire,25069229,Africa
Jamaica,2934855,North America
Japan,126529100,Asia
Kazakhstan,18272430,Europe
Jordan,9956011,Asia
Kenya,51393010,Africa
"Korea, North",25549819,Asia
"Korea, South",51606633,Asia
Kuwait,4137309,Asia
Kyrgyz Republic,6322800,Asia
Lao People's Democratic Republic,7061507,Asia
Lebanon,6848925,Asia
Lesotho,2108132,Africa
Latvia,1927174,Europe
Liberia,4818977,Africa
Libyan Arab Jamahiriya,6678567,Africa
Liechtenstein,37910,Europe
Lithuania,2801543,Europe
Luxembourg,607950,Europe
Macao,631636,Asia
Madagascar,26262368,Africa
Malawi,18143315,Africa
Malaysia,31528585,Asia
Maldives,515696,Asia
Mali,19077690,Africa
Malta,484630,Europe
Mauritania,4403319,Africa
Mauritius,1265303,Africa
Mexico,126190788,North America
Monaco,38682,Europe
